餐	cjp · 2 4
词	cic · 讠 口
脆	cvl · 月 ⺋
沧	chk · ⺡ ⺋
仓	che · 全字头 ⺋
槽	ccw · 木 日
寸	cyk · 寸 寸
崔	cvp · 山 龶
灿	cjt · 火 山
翠	cvd · 习 十
舱	cht · 舟 ⺋
蔡	cdz · ⺾ 八
摧	cvj · ⺘ 龶
裁	cds · 土 衣
磁	cit · 石 厶
嚓	cao · 口 八
淬	cvk · ⺡ 十
璨	cja · 王 米
璀	cva · 王 龶
簇	cun · 竹头 大
磋	cot · 石 工
忖	cyn · 忄 寸
糙	ccl · 米 辶
呲	cio · 口 匕
猝	cub · ⺨ 十
嘈	cco · 口 日
祠	cih · ⺭ 口
噌	cgo · 口 日
悴	cvn · 忄 十
雌	cir · 止 龶
茨	ciz · ⺾ 人
啐	cvo · 口 十
篡	crn · 竹头 厶
萃	cvz · ⺾ 十
漕	cck · ⺡ 日
涔	cfk · ⺡ 5
瘁	cvm · 疒 十
攒	crj · ⺘ 贝
伺	cix · 亻 口
锉	cod · 钅 土
糍	cil · 米 厶
矬	coe · 卧人 土
殂	cuf · 歹 三
毳	cvu · 3 七
爨	cru · 3 火
存	cyd · 左字框 子
玼	cia · 王 匕
嵯	cop · 山 工
鹾	cop · 2 工
辏	czt · 车旁 大
骖	cjz · 马 3
徂	cuh · 彳 三
艚	cct · 舟 日
伧	chx · 亻 ⺋
痤	com · 疒 土
皴	cyp · 厶 又
蔟	cuz · ⺾ 大
厝	cor · 厂 日
榱	cvw · 木 4
泚	cik · ⺡ 匕
脞	col · 月 土
偲	cdx · 亻 心
催	cvx · 亻 龶
凑	czf · 冫 大
卒	cui · 亠 十
嶒	cgp · 山 日
才	cdd · 1 3
擦	caj · ⺘ 八
曾	cgf · 丷 日
棤	cow · 木 日
瑳	coa · 王 工
窜	cri · 宀 十
粗	cul · 米 三
缞	cve · ⺰ 4
腠	czl · 月 大
莝	coz · ⺾ 土
螬	ccf · 虫 日
镩	crd · 钅 十
瓷	cif · 冫 4
聪	cld · 1 心
