阿	tz_· 阝可 ·a
琼	ngy_· 王小 ·qiong
穹	ebg_· 穴弓 ·qiong
跫	uoip· 工几丶足 ·qiong
邛	ute2· 工阝 ·qiong
茕	lwan· 艹冖⺄十 ·qiong
銎	uoiz· 工几丶金 ·qiong
筇	rut_· ⺮工阝 ·qiong
蛩	uoic· 工几丶虫 ·qiong
览	pre_· 〢见 ·qiong
藑	lxmh· 艹⺈人目夊 ·qiong
藭	lezb· 艹穴身弓 ·qiong
蛬	lhcc· 龷八虫 ·qiong
舼	ilh_· 舟龷八 ·qiong
笻	ruzj· ⺮工卩 ·qiong
竆	ezdd· 穴身口口 ·qiong
窮	ezb_· 穴身弓 ·qiong
瞏	ygdt2· 罒土口 ·qiong
睘	yfdt· 罒一口 ·qiong
赹	pnw_· 走勹冫 ·qiong
瓗	nvud· 王山隹冂八口 ·qiong
瓊	nxm_· 王⺈人目夊 ·qiong
璚	nitd· 王予丿冂八口 ·qiong
琁	net_· 王𠂉疋 ·qiong
熍	cwdd· 火宀口口 ·qiong
煢	ccwn· 火火冖⺄十 ·qiong
焭	ccwo· 火火冖几 ·qiong
焪	ceb_· 火穴弓 ·qiong
橩	eccn· 木火火冖⺄十 ·qiong
桏	eute· 木工阝 ·qiong
憌	znwh· 金勹冫心 ·qiong
惸	hnoh· 忄勹日子 ·qiong
宆	wbg_· 宀弓 ·qiong
嬛	byft· 女罒一口 ·qiong
卭	uzj2· 工卩 ·qiong
儝	jcce· 亻火火冖木 ·qiong
纗	ivud· 糹山隹冂八口 ·qiong
求	fk_· 一氺丶 ·qiu
球	nfk_· 王一氺丶 ·qiu
秋	xch_· 禾火 ·qiu
邱	tft_· 一阝 ·qiu
丘	tfi_· 一 ·qiu
裘	fkit· 一氺丶衣 ·qiu
囚	rjr_· 囗人 ·qiu
虬	cae_· 虫乚 ·qiu
湫	kxc_· 氵禾火 ·qiu
遒	hyuc· 丷酉辶 ·qiu
泅	krj_· 氵囗人 ·qiu
楸	exc_· 木禾火 ·qiu
鳅	wxc_· 鱼禾火 ·qiu
巯	rubo· ス工 ·qiu
逑	fkiu· 一氺丶辶 ·qiu
俅	jfk_· 亻一氺丶 ·qiu
酋	hyy_· 丷酉 ·qiu
龟	wgg_· 龟 ·qiu
仇	jkj_· 亻九 ·qiu
蚯	ctf_· 虫一 ·qiu
糗	pom_· 米自犬 ·qiu
鼽	oqlk· 自田丌九 ·qiu
赇	ofk_· 贝一氺丶 ·qiu
蝤	chy_· 虫丷酉 ·qiu
犰	mkj_· 犭九 ·qiu
訄	ksy_· 九言 ·qiu
璆	nzje· 王羽人彡 ·qiu
萩	lxc_· 艹禾火 ·qiu
鞧	thy_· 革丷酉 ·qiu
蓲	lndd· 艹匸口口口 ·qiu
蘒	lxw_· 艹禾亀 ·qiu
虯	cij_· 虫丩 ·qiu
莍	lfki· 艹一氺丶 ·qiu
蛷	cfki2· 虫一氺丶 ·qiu
蝵	xcc_· 禾火虫 ·qiu
蟗	ndwc2· 十口冖屮凵虫 ·qiu
蠤	hyc_· 丷酉虫虫 ·qiu
肍	vkj_· 月九 ·qiu
觓	xtij· ⺈用丩 ·qiu
緧	ihyy· 糹丷酉 ·qiu
觩	xtfi· ⺈用一氺丶 ·qiu
絿	ifki· 糹一氺丶 ·qiu
紌	ioy2· 糹尤 ·qiu
訅	skj_· 言九 ·qiu
篍	rxc_· ⺮禾火 ·qiu
穐	xwg2· 禾亀 ·qiu
秌	cxh2· 火禾 ·qiu
盚	fkia· 一氺丶皿 ·qiu
皳	fkir· 一氺丶皮 ·qiu
賕	ofki2· 貝一氺丶 ·qiu
趥	phyy· 走丷酉 ·qiu
玌	nae3· 王乚 ·qiu
牫	qpg2· 牜戈 ·qiu
煪	chyy2· 火丷酉 ·qiu
湭	khy_· 氵丷酉 ·qiu
渞	khoi2· 氵䒑自 ·qiu
逎	yuc4· 酉辶 ·qiu
浗	kfki· 氵一氺丶 ·qiu
汓	khi3· 氵子 ·qiu
氿	kkj_· 氵九 ·qiu
毬	vfk_· 毛一氺丶 ·qiu
醔	xcy_· 禾火酉 ·qiu
殏	gfk_· 歹一氺丶 ·qiu
釓	zae2· 金乚 ·qiu
櫹	elb_· 木艹𦘒 ·qiu
釚	zkj_· 金九 ·qiu
橚	eba_· 木𦘒 ·qiu
梂	efki· 木一氺丶 ·qiu
銶	zfki2· 金一氺丶 ·qiu
朹	ekj2· 木九 ·qiu
搝	uom_· 扌自犬 ·qiu
捄	ufk_· 扌一氺丶 ·qiu
扏	ukj_· 扌九 ·qiu
恘	hje_· 忄亻木 ·qiu
鞦	txc_· 革禾火 ·qiu
巰	fouo· 一巛工 ·qiu
崷	vhyy· 山丷酉 ·qiu
媝	xcb_· 禾火女 ·qiu
坵	gtfi· 土一 ·qiu
鮂	wrj_· 魚囗人 ·qiu
唒	dyy2· 口酉 ·qiu
鯄	wfk_· 魚一氺丶 ·qiu
鰌	whyy2· 魚丷酉 ·qiu
鰍	wxch2· 魚禾火 ·qiu
鰽	wfy_· 魚一曲曰 ·qiu
鱃	wgag2· 魚⺶ヿ土 ·qiu
叴	kdk3· 九口 ·qiu
厹	kks3· 九厶 ·qiu
鶖	xcxn2· 禾火鳥 ·qiu
鹙	xcx_· 禾火鸟 ·qiu
龜	wg4· 龜 ·qiu
龝	xwg_· 禾龜 ·qiu
丠	avfi· 匕一 ·qiu
去	gk_· 土厶 ·qu
区	nb_· 匸㐅 ·qu
曲	yq_· 曲 ·qu
取	qr_· 耳又 ·qu
渠	knn_· 氵匚コ木 ·qu
趋	pxb_· 走⺈彐 ·qu
趣	pq_· 走耳又 ·qu
娶	qrb_· 耳又女 ·qu
屈	csm_· 尸屮凵 ·qu
躯	znb_· 身匸㐅 ·qu
瞿	qqu_· 目目隹 ·qu
驱	nnb_· 马匸㐅 ·qu
衢	pqqu· 行目目隹 ·qu
祛	fgk_· 礻土厶 ·qu
蛆	cfq_· 虫且 ·qu
蕖	lkne· 艹氵匚コ木 ·qu
龋	ltd_· 齿丿口⽱ ·qu
朐	vgj_· 月句 ·qu
觑	zce_· 虍业见 ·qu
阒	aqm_· 门目犬 ·qu
诎	ssm_· 讠屮凵 ·qu
劬	gsl_· 句力 ·qu
蠼	cqqr· 虫目目隹又 ·qu
戌	nfi_· 戊一 ·qu
岖	vnbi· 山匸㐅 ·qu
蛐	cyq_· 虫曲 ·qu
癯	aqq_· 疒目目隹 ·qu
鸲	gxn_· 句鸟 ·qu
黢	pkhh· 厶八夊 ·qu
璩	nzj_· 王虍豕 ·qu
磲	mkn_· 石氵匚コ木 ·qu
蘧	lzju· 艹虍豕辶 ·qu
氍	qquv· 目目隹毛 ·qu
苣	lnnk· 艹匚コ ·qu
麴	ejjp· 木人人夂勹米 ·qu
焌	ckh_· 火厶八夊 ·qu
袪	tgks2· 衤土厶 ·qu
鼩	pgj_· 鼠句 ·qu
葋	lvg_· 艹月句 ·qu
菃	lknn· 艹氵匚コ ·qu
蚼	cgj2· 虫句 ·qu
蝺	ctdv2· 虫丿口⽱ ·qu
螶	nnc_· 匚コ虫虫 ·qu
蟝	ckn_· 虫氵匚コ木 ·qu
臞	vqqu· 月目目隹 ·qu
蠷	cqqu2· 虫目目隹 ·qu
衐	pnnk3· 行匚コ ·qu
胠	vgks· 月土厶 ·qu
胊	vgj3· ⺼句 ·qu
耝	afq2· 耒且 ·qu
翵	zxn2· 羽鳥 ·qu
翑	zgj2· 羽句 ·qu
覰	zfe_· 虍且見 ·qu
覷	zcej2· 虍业見 ·qu
覻	zzej· 虍豆見 ·qu
絇	igj2· 糹句 ·qu
組	ifq2· 糹且 ·qu
紶	igk_· 糹土厶 ·qu
粬	pyq_· 米曲 ·qu
籧	rzj_· ⺮虍豕辶 ·qu
詓	sgks· 言土厶 ·qu
詘	ssmk2· 言屮凵 ·qu
筁	ryq_· ⺮曲 ·qu
竬	itdv· 立丿口⽱ ·qu
竘	igj_· 立句 ·qu
誳	scs_· 言尸屮凵 ·qu
璖	nkn_· 王氵匚コ木 ·qu
趍	pllx2· 走夕夕 ·qu
趨	pnss· 走勹勹 ·qu
跔	pgj2· ⻊句 ·qu
跙	pfq3· ⻊且 ·qu
躣	pqqu2· ⻊目目隹 ·qu
軀	zndd· 身匸口口口 ·qu
軥	ygj_· 車句 ·qu
灈	kqqu· 氵目目隹 ·qu
淭	kmem· 氵户木 ·qu
浀	kyq_· 氵曲 ·qu
郥	ote2· 貝阝 ·qu
欋	eqqu· 木目目隹 ·qu
斪	gtj2· 句斤 ·qu
敺	nddh· 匸口口口攴 ·qu
鐻	zzjs· 金虍豕 ·qu
鑺	zqqu· 金目目隹 ·qu
抾	ugks· 扌土厶 ·qu
戵	qqup· 目目隹戈 ·qu
閴	aob3· 門貝 ·qu
闃	aqmq2· 門目犬 ·qu
憈	hzc_· 忄虍业 ·qu
阹	tgks3· 阝土厶 ·qu
怚	hfq_· 忄且 ·qu
忂	wqqu· 彳目目隹 ·qu
弆	gkl_· 土厶廾 ·qu
嶇	vnd_· 山匸口口口 ·qu
岴	vtfi2· 山一 ·qu
岨	vfq_· 山且 ·qu
駆	nnbi2· 馬匸㐅 ·qu
駈	ntf_· 馬一 ·qu
驅	nnd_· 馬匸口口口 ·qu
坥	gfq2· 土且 ·qu
髷	peyq· 镸彡曲 ·qu
魼	wgks· 魚土厶 ·qu
鮈	wgj2· 魚句 ·qu
呿	dgks· 口土厶 ·qu
鰸	wnd_· 魚匸口口口 ·qu
鱋	wzc_· 魚虍业 ·qu
厺	mks2· 大厶 ·qu
鴝	gxn3· 句鳥 ·qu
區	nddd2· 匸口口口 ·qu
匷	nqqu· 匚目目隹 ·qu
匤	nnid3· 匚王丶 ·qu
鶌	csmx· 尸屮凵鳥 ·qu
刞	fpd2· 且刂 ·qu
鸜	qqux· 目目隹鳥 ·qu
麮	ejjk· 木人人夂土厶 ·qu
麯	ejjy· 木人人夂曲 ·qu
麹	ahn_· 龶夂勹米 ·qu
鼁	gkdm· 土厶黽 ·qu
佢	jnn_· 亻匚コ ·qu
佉	jgks· 亻土厶 ·qu
伹	jfq2· 亻且 ·qu
齲	ltdv3· 齒丿口⽱ ·qu
全	jn_· 人王 ·quan
权	er_· 木又 ·quan
泉	uks_· 白水 ·quan
圈	rhh_· 囗丷夫⺋ ·quan
劝	rs_· 又力 ·quan
券	hhpd· 丷夫刀 ·quan
拳	hhu_· 丷夫手 ·quan
犬	mq_· 犬 ·quan
荃	ljn_· 艹人王 ·quan
铨	zjn_· 钅人王 ·quan
醛	ylj_· 酉艹人王 ·quan
诠	sjn_· 讠人王 ·quan
蜷	chh_· 虫丷夫⺋ ·quan
鬈	peh_· 镸彡丷夫⺋ ·quan
绻	ihh_· 纟丷夫⺋ ·quan
痊	ajn_· 疒人王 ·quan
颧	lddw· 艹口口隹页 ·quan
悛	hkhh· 忄厶八夊 ·quan
筌	rjn_· ⺮人王 ·quan
畎	qmq_· 田犬 ·quan
辁	yjn_· 人王 ·quan
棬	ehhz· 木丷夫⺋ ·quan
鳈	wuk_· 鱼白水 ·quan
葲	luk_· 艹白水 ·quan
虇	lbl_· 艹弓艹口口隹 ·quan
腃	vhhz· 月丷夫⺋ ·quan
蠸	cldu2· 虫艹口口隹 ·quan
觠	hhxt· 丷夫⺈用 ·quan
縓	ixu_· 糹厂白小 ·quan
綣	ihhz2· 糹丷夫⺋ ·quan
絟	ijnw· 糹人王 ·quan
詮	sjnw2· 言人王 ·quan
硂	mjnw· 石人王 ·quan
矔	qldu· 目艹口口隹 ·quan
甽	qoc2· 田川 ·quan
瑔	nuk_· 王白水 ·quan
跧	pjnw· ⻊人王 ·quan
踡	phhz· ⻊丷夫⺋ ·quan
狋	mfs2· 犭示 ·quan
犈	qhhz· 牜丷夫⺋ ·quan
牷	qjn_· 牜人王 ·quan
牶	hhqn2· 丷夫牛 ·quan
烇	cjn_· 火人王 ·quan
灥	ukuk· 白水白水白水 ·quan
輇	yjnw2· 車人王 ·quan
湶	kuk_· 氵白水 ·quan
洤	kjn_· 氵人王 ·quan
汱	kmq2· 氵犬 ·quan
酄	lddt3· 艹口口隹阝 ·quan
權	eldu· 木艹口口隹 ·quan
権	eefu· 木𠂉一隹 ·quan
銓	zjnw2· 金人王 ·quan
搼	uhhu· 扌丷夫手 ·quan
鐉	zvvh· 金巳巳龷八 ·quan
闎	auk_· 門白水 ·quan
惓	hhhz· 忄丷夫⺋ ·quan
恮	hjn_· 忄人王 ·quan
弮	hhbg· 丷夫弓 ·quan
韏	hhg_· 丷夫韋 ·quan
巏	vldu· 山艹口口隹 ·quan
峑	vjn_· 山人王 ·quan
顴	lddw2· 艹口口隹頁 ·quan
孉	bldu· 女艹口口隹 ·quan
婘	bhhz· 女丷夫⺋ ·quan
姾	bjn_· 女人王 ·quan
奍	hhpd3· 丷夫 ·quan
駩	njn_· 馬人王 ·quan
騡	nuks2· 馬白水 ·quan
埢	ghhz· 土丷夫⺋ ·quan
圏	rhhv· 囗丷夫己 ·quan
啳	dhhz· 口丷夫⺋ ·quan
鰁	wuks2· 魚白水 ·quan
勸	ldds· 艹口口隹力 ·quan
勧	efus· 𠂉一隹力 ·quan
佺	jjn_· 亻人王 ·quan
齤	hhlc2· 丷夫齒 ·quan
却	gkz_· 土厶卩 ·que
缺	an_· 缶人 ·que
确	mx_· 石⺈用 ·que
雀	yui_· 𡭔隹 ·que
阙	ahs_· 门䒑欠 ·que
瘸	asdj· 疒力口冂人人 ·que
鹊	lox_· 龷日鸟 ·que
阕	ahf_· 门癶一大 ·que
炔	cnj_· 火人 ·que
榷	ewu_· 木冖隹 ·que
悫	gwoh· 士冖几心 ·que
蒛	lan_· 艹缶人 ·que
蚗	cnjr2· 虫人 ·que
舃	pfac· 臼一ㄅ灬 ·que
礭	mtui2· 石⻗隹 ·que
礐	pbbm· 乂乂冖石 ·que
碻	mgg2· 石高 ·que
確	mwu_· 石冖隹 ·que
碏	mlor2· 石龷日 ·que
硞	mqd_· 石⺧口 ·que
皵	lorp· 龷日皮 ·que
趞	plor2· 走龷日 ·que
獡	mpnc· 犭臼勹灬 ·que
燩	cul_· 火白方攵 ·que
毃	grs4· 高殳 ·que
敠	rrrh· 又又又又攴 ·que
搉	uwu_· 扌冖隹 ·que
闋	ahfm2· 門癶一大 ·que
闕	ahse3· 門䒑欠 ·que
慤	gwoh2· 士冖几殳心 ·que
愨	gwfh· 士冖一殳心 ·que
隺	wui2· 冖隹 ·que
崅	vxty· 山⺈用 ·que
墧	gtmd4· 土丿大口冂口 ·que
塙	ggg2· 土高 ·que
埆	gxt_· 土⺈用 ·que
卻	hzj2· 谷卩 ·que
鵲	loxn2· 龷日鳥 ·que
傕	jwui· 亻冖隹 ·que
群	bt_· 丿口羊 ·qun
裙	tbt_· 衤丿口 ·qun
逡	khhu· 厶八夊辶 ·qun
麇	xxh_· 鹿禾 ·qun
裠	btdt2· 丿口衣 ·qun
羣	btdg2· 丿口羊 ·qun
箘	rrx_· ⺮囗禾 ·qun
輑	ybt_· 車丿口 ·qun
歏	ldae2· 廿口龶欠 ·qun
帬	btdr· 丿口巾 ·qun
峮	vbtd2· 山丿口 ·qun
宭	wbtd2· 宀丿口 ·qun
夋	khhi· 厶八夊 ·qun
囷	rxh_· 囗禾 ·qun
麏	xbtd· 鹿丿口 ·qun
麕	xrxh2· 鹿囗禾 ·qun
㒅	jtll· 亻衣夕夕 ·qi
㓗	wapi· 冫丰刀糸 ·qi
㓞	apd2· 丰刀 ·qi
㔑	ltkp3· 艹丿㠯辛刀 ·qi
㖢	dxsv· 口广匕 ·qi
㘍	dyup· 口𡭔隹戈 ·qi
㙨	giii2· 土幺幺丶 ·qi
㜎	byim· 女爫幺大 ·qi
㝄	ghfs· 子一 ·qi
㞓	cvor· 尸匕日 ·qi
㞚	clpj· 尸千臼 ·qi
㞿	vgb_· 山土㐅 ·qi
㟓	vbnr2· 山㐅𠂇巾 ·qi
㟚	ecvs· 木支山 ·qi
㟢	vmzk2· 山大可 ·qi
㠍	vue_· 山隹木 ·qi
㠎	vuem2· 山隹木 ·qi
㠱	vzhb· 己 ·qi
㣬	wdq_· 彳口耳 ·qi
㥓	hmz_· 忄大可 ·qi
㦢	hriz· 忄⺮卩 ·qi
㩩	uvk_· 扌匕水頁 ·qi
㩽	xci3· 束支 ·qi
㫅	ljmp· 方人二 ·qi
㫓	oea_· 日𠂉乙 ·qi
㮑	elpj· 木千臼 ·qi
㯦	ezhe· 木木 ·qi
㹄	qqhh· 牜田八夊 ·qi
㼤	apr_· 丰刀瓦 ·qi
㾨	amz_· 疒大可 ·qi
䀈	ida_· 旡皿 ·qi
䀙	qrpd2· 目七刀 ·qi
䁈	mhqm2· 户攵目 ·qi
䁉	mpq_· 户戈目 ·qi
䄎	fmz_· 礻大可 ·qi
䄢	fqq_· 礻齊 ·qi
䄫	xvj_· 禾己 ·qi
䅤	xlpj2· 禾千臼 ·qi
䅲	xqo_· 禾老日 ·qi
䉝	rgtp· ⺮⺷丿扌戈 ·qi
䉻	pbs2· 米氏 ·qi
䋯	mpi_· 户戈糸 ·qi
䌌	izu_· 糹羽白 ·qi
䎢	aeai2· 耒𠂉乙 ·qi
䏅	qhfs· 耳示 ·qi
䏌	hvy_· 八⺝ ·qi
䏠	vil2· 月立 ·qi
䏿	mhvy· 户攵⺝ ·qi
䐡	qmjj5· 冂人人 ·qi
䐤	vgug3· 月⺶工 ·qi
䑴	izhb2· 舟 ·qi
䒗	leai3· 艹𠂉乙 ·qi
䒻	lvvj· 艹山己 ·qi
䓅	lktj· 艹氵斤 ·qi
䓫	lmzk· 艹大可 ·qi
䔇	lvzd· 艹山豆 ·qi
䔾	luof· 艹扌曰勹亾 ·qi
䙄	tlp_· 衤千臼 ·qi
䚉	apme· 丰刀大見 ·qi
䚍	aoej2· 龶貝見 ·qi
䛛	srd_· 言囗口 ·qi
䛴	smzk· 言大可 ·qi
䞚	pci2· 走支 ·qi
䟄	paob2· 走龶貝 ·qi
䟚	pmpd· ⻊二 ·qi
䠞	pny_· ⻊戊⺊一小 ·qi
䡋	yci_· 車支 ·qi
䡔	yll_· 車夕夕 ·qi
䢀	yea_· 𠂉乙 ·qi
䧘	tbjs2· 阝彑 ·qi
䧵	wpu_· 冖隹 ·qi
䩓	tnks2· 革勹厶 ·qi
䫔	apmw· 丰刀大頁 ·qi
䬣	qeai3· 飠𠂉乙 ·qi
䭫	voh_· 匕日䒑自 ·qi
䭬	vooo· 匕日巛一自 ·qi
䭶	nlc4· 馬丌 ·qi
䭼	nmpd· 馬二 ·qi
䯥	foic· 骨日幺幺灬 ·qi
䰇	peqo2· 镸彡耂日 ·qi
䰍	peek2· 镸彡木人氺 ·qi
䰴	weai2· 魚𠂉乙 ·qi
䱈	wfs2· 魚示 ·qi
䲬	xbs3· 鳥氏 ·qi
䳢	zhxn· 鳥 ·qi
䶒	qbn2· 齊女 ·qi
䶓	rqq2· 巾齊 ·qi
䶞	lzhb2· 齒 ·qi
㓞	apd2· 丰刀 ·qia
㓣	jdpd· 亼口刂 ·qia
㓤	gdp_· 士口刂 ·qia
㡊	rxpj· 巾⺈臼 ·qia
㤉	hly3· 忄牙 ·qia
㦴	psg2· 戈各 ·qia
㰤	zeq3· 可欠 ·qia
㵄	kpdm· 氵戈口㇀大 ·qia
䁍	qnfd· 目戊一口 ·qia
䂒	ogdk· 矢士口 ·qia
䜑	sfch· 言一心 ·qia
䠍	pcm_· ⻊二コ又 ·qia
䨐	tjdk3· ⻗亼口 ·qia
䯊	fzk_· 骨可 ·qia
䶗	lzk3· 齒可 ·qia
䶝	lmjj2· 齒大人人 ·qia
㐸	jeq_· 亻欠 ·qian
㜞	ytbn· 車斤女 ·qian
㝿	orp_· 尢皮 ·qian
㟻	ytvs· 車斤山 ·qian
㡊	rxpj· 巾⺈臼 ·qian
㡨	rjjf2· 巾人人戈非一 ·qian
㥞	hhjs2· 忄丷豕 ·qian
㦮	mpg2· 二戈 ·qian
㧄	umk3· 扌凵 ·qian
㨜	uzvw· 扌虍文 ·qian
㩮	upfu2· 扌一ㄅ丨手 ·qian
㪠	hbch2· 䒑攴 ·qian
㯠	eziq2· 木亠幺冖牛 ·qian
㸫	qtj2· 牜斤 ·qian
㹂	qrq_· 臣又牛 ·qian
䁮	qddo· 目旡曰 ·qian
䃛	myu_· 石車辶 ·qian
䅐	xej2· 禾見 ·qian
䅾	xddo· 禾旡曰 ·qian
䆂	xxhc· 禾广䒑 ·qian
䈤	rezg· ⺮木甘 ·qian
䈴	rhbc2· ⺮䒑 ·qian
䊴	prjj· 米⺮亼口口人人 ·qian
䋮	izj2· 糹金 ·qian
䍉	adh_· 缶口八 ·qian
䑶	iavy5· 舟龶⺝ ·qian
䔔	lxpe2· 艹音儿 ·qian
䕭	lghc3· 艹土八土火火 ·qian
䖍	zhp4· 虍攵 ·qian
䙺	cej4· 火見 ·qian
䢪	tmdu2· 丿大口冂口辶 ·qian
䤘	yjjf· 酉人人戈非一 ·qian
䥅	nnnz· 十王王金 ·qian
䦲	axxs4· 門⺈厂八言 ·qian
䨿	fmr_· 一大非 ·qian
䪈	tcku· 革㠯辶 ·qian
䫡	hbcw· 䒑頁 ·qian
䭠	qxh_· 飠广䒑 ·qian
䭤	qcku· 飠㠯辶 ·qian
䯡	fhbc· 骨䒑 ·qian
䵖	qrx_· 臣又禾人氺 ·qian
㛨	bgae· 女⺶乚 ·qiang
㩖	ufqf· 扌一田一田一 ·qiang
䅚	xhhz· 禾丷夫⺋ ·qiang
䵁	ejjk2· 木人人夂爿寸 ·qiang
㚁	gggp3· 土土土一儿土土土一儿 ·qiao
㚽	ufab· 工一ㄅ女 ·qiao
㝯	wtmd4· 宀丿大口冂口 ·qiao
㡑	xcrj· 禾火巾 ·qiao
㢗	xtmd3· 广丿大口冂口 ·qiao
㤍	ufah· 工一ㄅ心 ·qiao
㨽	ufdp· 扌一口田刂 ·qiao
㩰	ulde2· 扌艹口口口木 ·qiao
㪣	ghp4· 高攵 ·qiao
㱶	ghes· 歹彡 ·qiao
㴥	kvyv· 氵山⺌⺝ ·qiao
䀉	tmda· 丿大口冂口皿 ·qiao
䃝	mqhh· 石耂子攵 ·qiao
䆻	eaqh2· 穴乛耳攵 ·qiao
䇌	iyvy4· 立⺌⺝ ·qiao
䎗	tmdz· 丿大口冂口羽 ·qiao
䏆	qfyo· 耳一曲曰 ·qiao
䩌	buch2· 面隹灬 ·qiao
䱁	wmn_· 魚大十 ·qiao
䲾	ufax· 工一ㄅ鳥 ·qiao
㓶	apmp· 丰刀大刂 ·qie
㗫	dhfs· 口示 ·qie
㙻	gxd_· 土广里八土 ·qie
㚗	mfq3· 大且 ·qie
㛍	bmjj· 女大人人 ·qie
㛙	bnx_· 女辛 ·qie
㤲	mjjh· 大人人心 ·qie
㥦	nmjh· 匚大人人心 ·qie
㫸	ofb_· 日一龰 ·qie
㰰	mjje· 大人人欠 ·qie
㰼	nmje· 匚大人人欠 ·qie
㹤	mgks3· 犭土厶 ·qie
㼤	apr_· 丰刀瓦 ·qie
㾀	agks2· 疒土厶 ·qie
㾜	amjj· 疒大人人 ·qie
䌌	izu_· 糹羽白 ·qie
䟙	prpd· ⻊七刀 ·qie
䤿	zapu· 金丰刀手 ·qie
䦧	appe2· 門臼儿 ·qie
䫔	apmw· 丰刀大頁 ·qie
䬊	otcj2· ⺇丿虫大人人 ·qie
䶗	lzk3· 齒可 ·qie
㓎	wbwr3· 冫彐冖又 ·qin
㕋	xzj3· 厂金 ·qin
㘦	gsl3· 土力 ·qin
㛙	bnx_· 女辛 ·qin
㝲	walr· 宀爿卝罒冖彐冖巾 ·qin
㞬	vug3· 山工 ·qin
㢙	xlds· 广廿口龶力 ·qin
㤈	hhx2· 忄心 ·qin
㩒	ueef· 扌木木示 ·qin
㪁	jahp· 亽攴 ·qin
㮗	itje· 予丿亽木 ·qin
㱽	wprs· 冖殳 ·qin
㾛	abwr· 疒彐冖又 ·qin
䅾	xddo· 禾旡曰 ·qin
䇒	idi_· 旡立 ·qin
䈜	rjb_· ⺮亻彐冖又 ·qin
䔷	lnna· 艹王王亽 ·qin
䖌	zpd6· 虎刂 ·qin
䠴	zil5· 身立 ·qin
䢈	fjro2· 辰亼囗⺌曰 ·qin
䥅	nnnz· 十王王金 ·qin
䥆	zrz_· 亠非金 ·qin
䦦	azj5· 門金 ·qin
䶖	ljae2· 齒亽 ·qin
㔀	ogyp· 日小刂 ·qing
㢣	lghl· 艹句攵廾 ·qing
㩩	uvk_· 扌匕水頁 ·qing
㯳	elgh· 木艹句攵 ·qing
㵾	kave· 氵龶⺝見 ·qing
㷫	gcrc· 士殳火 ·qing
䋜	mris· 户又糸 ·qing
䋯	mpi_· 户戈糸 ·qing
䌠	nfdi· 戊一口欠糸 ·qing
䔛	lvwy· 艹頁 ·qing
䝼	oavy3· 貝龶⺝ ·qing
䞍	oavy2· 贝龶⺝ ·qing
䯧	gmdk2· 冂口 ·qing
䲔	wfqf· 魚一田一田一 ·qing
䵞	ppd3· 黑刂 ·qing
㑋	jyq_· 亻曲 ·qiong
㒌	jcco· 亻火火冖几 ·qiong
㤨	hlhb2· 忄龷八 ·qiong
㧭	utus· 工阝手 ·qiong
㮪	euoe· 木工几丶木 ·qiong
㵌	kwxq· 氵彳⺁十目 ·qiong
㷀	ccan· 火火⺄十 ·qiong
㼇	nvum· 王山隹 ·qiong
䅃	uoix· 工几丶禾 ·qiong
䆳	ejuc2· 穴豕辶 ·qiong
䊄	uoip2· 工几丶米 ·qiong
䓖	lesl· 艹穴力 ·qiong
䛪	seb_· 言穴弓 ·qiong
䠻	zebg· 身穴弓 ·qiong
䧆	tlhb3· 阝龷八 ·qiong
㐀	lfi_· 卝一 ·qiu
㐤	knqh3· 九十 ·qiu
㕤	dkj_· 口九 ·qiu
㛏	bfki· 女一氺丶 ·qiu
㞗	cfki· 尸一氺丶 ·qiu
㟈	vfki3· 山一氺丶 ·qiu
㤹	hfk_· 忄一氺丶 ·qiu
㥢	hhyy· 忄丷酉 ·qiu
㧄	umk3· 扌凵 ·qiu
㧨	uxf_· 扌⺁一口 ·qiu
㭝	eekj· 木木九 ·qiu
㲹	koj_· 氵几 ·qiu
㷕	hych· 丷酉火 ·qiu
㺫	npd2· 王刂 ·qiu
㼒	yofe2· 瓜日一勹 ·qiu
䆋	xwg3· 禾⿔ ·qiu
䊆	ppm2· 臼米 ·qiu
䊵	ikj_· 糹九 ·qiu
䎿	qxch4· 耳禾火 ·qiu
䔔	lxpe2· 艹音儿 ·qiu
䜪	hkj_· 谷九 ·qiu
䞭	pkhh3· 走厶八夊 ·qiu
䟬	ptfi· ⻊一 ·qiu
䟵	pfk_· ⻊一氺丶 ·qiu
䠗	pomq2· ⻊自犬 ·qiu
䣇	fkit2· 一氺丶阝 ·qiu
䤛	zij_· 金丩 ·qiu
㖆	dyq_· 口曲 ·qu
㚁	gggp3· 土土土一儿土土土一儿 ·qu
㜹	bqqu· 女目目隹 ·qu
㠊	vzc_· 山虍业 ·qu
㣄	bkn_· 弓氵匚コ木 ·qu
㤲	mjjh· 大人人心 ·qu
㧁	mgks2· 户土厶 ·qu
㪯	vus_· 文 ·qu
㫢	ogks· 日土厶 ·qu
㯫	ezjs· 木虍豕 ·qu
㰦	gkeq2· 土厶欠 ·qu
㲘	ovm2· 貝毛 ·qu
㽛	qgj5· 田句 ·qu
䀠	qqm2· 目目 ·qu
䁦	qzf_· 目虍且 ·qu
䂂	qqqu· 目目目隹 ·qu
䅓	xgr_· 禾句又 ·qu
䆽	ezjs2· 穴虍豕 ·qu
䋧	iccg2· 糹尸古 ·qu
䌌	izu_· 糹羽白 ·qu
䏣	vfq2· 月且 ·qu
䒧	lgks· 艹土厶 ·qu
