阿	tz_· 阝可 ·a
䭹	nbz_· 馬卩 ·ang
䭺	nzoj2· 馬亠几 ·ang
㑃	jisl· 亻幺力 ·ao
㕭	dtmd3· 口丿大 ·ao
㘬	gnk_· 土勹厶 ·ao
㘭	gia_· 土幺㇆ ·ao
㜜	bap_· 女龶攵 ·ao
㜩	btmm· 女丿冂米大 ·ao
㟼	vaph· 山龶攵 ·ao
㠂	vaph2· 山龶攵 ·ao
㠗	vtmm2· 山丿冂米大 ·ao
㤇	htmd3· 忄丿大 ·ao
㥿	aphh· 龶攵心 ·ao
㿰	abr_· 六乂皮 ·ao
䁱	qggp3· 目土土土一儿 ·ao
䐿	vtmm3· 月丿冂米大 ·ao
䚫	ulht· 白方攵⺈用 ·ao
䜒	stmm· 言丿冂米大 ·ao
䞝	pnid2· 走王丶 ·ao
䥝	zxvb· 金鹿匕 ·ao
䦋	pap_· 镸龶攵 ·ao
䫨	aphw3· 龶攵頁 ·ao
䮯	naph2· 馬龶攵 ·ao
䯠	foa_· 骨日皿 ·ao
䴈	tmpx· 丿冂米大鳥 ·ao
䵅	aphh2· 龶攵木人人夂 ·ao
吧	dmb_· 口巴 ·ba
把	umb_· 扌巴 ·ba
爸	hbm_· 八乂巴 ·ba
八	hb_· 八 ·ba
巴	mb_· 巴 ·ba
坝	gob_· 土贝 ·ba
拔	unr_· 扌𠂇又丶 ·ba
罢	ygk_· 罒土厶 ·ba
霸	ttv_· ⻗革月 ·ba
扒	uhb_· 扌八 ·ba
叭	dhb_· 口八 ·ba
靶	tmb_· 革巴 ·ba
芭	lmb_· 艹巴 ·ba
跋	pnr_· ⻊𠂇又丶 ·ba
岜	vmb2· 山巴 ·ba
疤	amb_· 疒巴 ·ba
灞	ktt_· 氵⻗革月 ·ba
笆	rmb_· ⺮巴 ·ba
粑	pmb_· 米巴 ·ba
捌	udsp· 扌口力刂 ·ba
耙	amb2· 耒巴 ·ba
茇	lnr_· 艹𠂇又丶 ·ba
鲅	wnr_· 鱼𠂇又丶 ·ba
魃	anr_· 鬼𠂇又丶 ·ba
菝	lun_· 艹扌𠂇又丶 ·ba
钯	zmb2· 钅巴 ·ba
鲃	wmb_· 鱼巴 ·ba
鲌	wub_· 鱼白 ·ba
蚆	cmb3· 虫巴 ·ba
胈	vnr_· 月𠂇又丶 ·ba
羓	gmb_· ⺶巴 ·ba
罷	ykv_· 罒厶⺝匕 ·ba
覇	vtv_· 覀革月 ·ba
紦	imb3· 糹巴 ·ba
詙	snr_· 言𠂇又丶 ·ba
矲	oyk_· 矢罒厶⺝匕 ·ba
豝	jmb2· 豕巴 ·ba
癹	hrs_· 癶殳 ·ba
跁	pmb2· ⻊巴 ·ba
玐	nhb2· 王八 ·ba
犮	nrid· 𠂇又丶 ·ba
炦	cnr_· 火𠂇又丶 ·ba
軷	ynr_· 車𠂇又丶 ·ba
欛	ett_· 木⻗革月 ·ba
釛	zsl2· 金力 ·ba
釟	zhb2· 金八 ·ba
鈀	zmb3· 金巴 ·ba
柭	enri· 木𠂇又丶 ·ba
朳	ehb_· 木八 ·ba
弝	bmb3· 弓巴 ·ba
峇	vjdk2· 山亼口 ·ba
颰	otci· ⺇丿虫𠂇又丶 ·ba
妭	bnri· 女𠂇又丶 ·ba
夿	mmb_· 大巴 ·ba
壩	gtt_· 土⻗革月 ·ba
墢	ghb_· 土癶弓殳 ·ba
垻	gob2· 土貝 ·ba
坺	gnri2· 土𠂇又丶 ·ba
鮁	wnri3· 魚𠂇又丶 ·ba
鮊	wub2· 魚白 ·ba
哵	dds_· 口口力刂 ·ba
叐	tnr_· 丿𠂇又 ·ba
鼥	pnri2· 鼠𠂇又丶 ·ba
仈	jhb_· 亻八 ·ba
丷	hbb_· 丷 ·ba
白	ub_· 白 ·bai
百	fu_· 一白 ·bai
拜	ufa_· 龵一丰 ·bai
摆	uyg_· 扌罒土厶 ·bai
败	oh_· 贝攵 ·bai
掰	uhpu· 龵八刀手 ·bai
呗	dob_· 口贝 ·bai
佰	jfu_· 亻一白 ·bai
柏	eub_· 木白 ·bai
稗	xut_· 禾白丿十 ·bai
伯	jub_· 亻白 ·bai
捭	uut_· 扌白丿十 ·bai
薭	lxun· 艹禾白丿十 ·bai
襬	tykv· 衤罒厶⺝匕 ·bai
絔	ifub2· 糹一白 ·bai
粺	put_· 米白丿十 ·bai
粨	pfu_· 米一白 ·bai
竡	ifu_· 立一白 ·bai
贁	ooh_· 貝貝攵 ·bai
猈	mutn2· 犭白丿十 ·bai
栢	efu_· 木一白 ·bai
敗	ohp2· 貝攵 ·bai
擺	uykv· 扌罒厶⺝匕 ·bai
挀	uxt_· 扌⺁ ·bai
